D18E,ю,LOWERCASE IU / CYRILLIC SMALL LETTER YU
D0B0,а,CYRILLIC SMALL LETTER A
D0B1,б,CYRILLIC SMALL LETTER BE
D186,ц,CYRILLIC SMALL LETTER TSE
D0B4,д,CYRILLIC SMALL LETTER DE
D0B5,е,CYRILLIC SMALL LETTER IE
D184,ф,CYRILLIC SMALL LETTER EF
D0B3,г,LOWERCASE GE / CYRILLIC SMALL LETTER GHE
D185,х,LOWERCASE KHA / CYRILLIC SMALL LETTER HA
D0B8,и,LOWERCASE II / CYRILLIC SMALL LETTER I
D0B9,й,LOWERCASE SHORT II / CYRILLIC SMALL LETTER SHORT I
D0BA,к,CYRILLIC SMALL LETTER KA
D0BB,л,CYRILLIC SMALL LETTER EL
D0BC,м,CYRILLIC SMALL LETTER EM
D0BD,н,CYRILLIC SMALL LETTER EN
D0BE,о,CYRILLIC SMALL LETTER O
D0BF,п,CYRILLIC SMALL LETTER PE
D18F,я,LOWERCASE IA / CYRILLIC SMALL LETTER YA
D180,р,CYRILLIC SMALL LETTER ER
D181,с,CYRILLIC SMALL LETTER ES
D182,т,CYRILLIC SMALL LETTER TE
D183,у,CYRILLIC SMALL LETTER U
D0B6,ж,CYRILLIC SMALL LETTER ZHE
D0B2,в,CYRILLIC SMALL LETTER VE
D18C,ь,CYRILLIC SMALL LETTER SOFT SIGN
D18B,ы,LOWERCASE YERI / CYRILLIC SMALL LETTER YERI
D0B7,з,CYRILLIC SMALL LETTER ZE
D188,ш,CYRILLIC SMALL LETTER SHA
D18D,э,LOWERCASE REVERSED E / CYRILLIC SMALL LETTER E
D189,щ,CYRILLIC SMALL LETTER SHCHA
D187,ч,CYRILLIC SMALL LETTER CHE
D18A,ъ,CYRILLIC SMALL LETTER HARD SIGN
D0AE,Ю,UPPERCASE IU / CYRILLIC CAPITAL LETTER YU
D090,А,CYRILLIC CAPITAL LETTER A
D091,Б,CYRILLIC CAPITAL LETTER BE
D0A6,Ц,CYRILLIC CAPITAL LETTER TSE
D094,Д,CYRILLIC CAPITAL LETTER DE
D095,Е,CYRILLIC CAPITAL LETTER IE
D0A4,Ф,CYRILLIC CAPITAL LETTER EF
D093,Г,UPPERCASE GE / CYRILLIC CAPITAL LETTER GHE
D0A5,Х,UPPERCASE KHA / CYRILLIC CAPITAL LETTER HA
D098,И,UPPERCASE II / CYRILLIC CAPITAL LETTER I
D099,Й,UPPERCASE SHORT II / CYRILLIC CAPITAL LETTER SHORT I
D09A,К,CYRILLIC CAPITAL LETTER KA
D09B,Л,CYRILLIC CAPITAL LETTER EL
D09C,М,CYRILLIC CAPITAL LETTER EM
D09D,Н,CYRILLIC CAPITAL LETTER EN
D09E,О,CYRILLIC CAPITAL LETTER O
D09F,П,CYRILLIC CAPITAL LETTER PE
D0AF,Я,UPPERCASE IA / CYRILLIC CAPITAL LETTER YA
D0A0,Р,CYRILLIC CAPITAL LETTER ER
D0A1,С,CYRILLIC CAPITAL LETTER ES
D0A2,Т,CYRILLIC CAPITAL LETTER TE
D0A3,У,CYRILLIC CAPITAL LETTER U
D096,Ж,CYRILLIC CAPITAL LETTER ZHE
D092,В,CYRILLIC CAPITAL LETTER VE
D0AC,Ь,CYRILLIC CAPITAL LETTER SOFT SIGN
D0AB,Ы,UPPERCASE YERI / CYRILLIC CAPITAL LETTER YERI
D097,З,CYRILLIC CAPITAL LETTER ZE
D0A8,Ш,CYRILLIC CAPITAL LETTER SHA
D0AD,Э,CYRILLIC CAPITAL LETTER E
D0A9,Щ,CYRILLIC CAPITAL LETTER SHCHA
D0A7,Ч,CYRILLIC CAPITAL LETTER CHE
